,Interactor_A_ID,Interactor_B_ID
885,STM0378,STM0791
886,STM1846,STM4290
887,STM2096,STM2102
888,STM0438,STM2587
889,STM1341,STM1342
890,STM1599,STM4082
891,STM1203,STM3685
892,STM2266,STM2637
893,STM2869,STM2871
894,STM1906,STM2964
895,STM2874,STM4259
896,STM1127,STM1533
897,STM3424,STM3434
898,STM2481,STM3031
899,STM0529,STM2704
900,STM0043,STM4096
901,STM0348,STM2802
902,STM1058,STM4123
903,STM0301,STM0302
904,STM1494,STM1495
905,STM2348,STM3164
906,STM0425,STM4163
907,STM3406,STM4427
908,STM2692,STM2703
909,STM1409,STM1422
910,STM0248,STM1322
911,STM1139,STM1140
912,STM1358,STM1359
913,STM2269,STM2781
914,STM2410,STM4551
915,STM1065,STM2292
916,STM2813,STM3390
917,STM1491,STM4225
918,STM2892,STM2900
919,STM1401,STM2878
920,STM2716,STM3736
921,STM3773,STM4534
922,STM2402,STM3199
923,STM1697,STM4551
924,STM4528,STM4530
925,STM2459,STM2467
926,STM1399,STM2241
927,STM0571,STM1127
928,STM1693,STM3617
929,STM2878,STM2894
930,STM1897,STM2776
931,STM0831,STM4125
932,STM2839,STM2840
933,STM1821,STM2363
934,STM0305,STM2624
935,STM0522,STM2140
936,STM0284,STM0286
937,STM0191,STM0320
938,STM0716,STM3123
939,STM3097,STM3100
940,STM0449,STM2829
941,STM0622,STM1101
942,STM1160,STM3484
943,STM3099,STM4485
944,STM2444,STM2934
945,STM2278,STM3064
946,STM0984,STM3317
947,STM0525,STM3563
948,STM0075,STM3222
949,STM2863,STM3922
950,STM3293,STM4147
951,STM2539,STM2777
952,STM3837,STM4543
953,STM0834,STM1189
954,STM1024,STM2769
955,STM0005,STM1097
956,STM2872,STM2898
957,STM2154,STM4600
958,STM0525,STM3560
959,STM0271,STM0274
960,STM1915,STM3217
961,STM0602,STM0603
962,STM3152,STM3936
963,STM1568,STM1570
964,STM1515,STM1530
965,STM0075,STM0076
966,STM2579,STM3836
967,STM2169,STM2802
968,STM2037,STM3937
969,STM2048,STM2063
970,STM2040,STM2046
971,STM0449,STM1925
972,STM0963,STM1333
973,STM2045,STM2461
974,STM0004,STM4425
975,STM0302,STM1042
976,STM2036,STM2053
977,STM1528,STM1555
978,STM1180,STM1181
979,STM2408,STM3506
980,STM3438,STM3447
981,STM0194,STM0200
982,STM4504,STM4521
983,STM1444,STM4260
984,STM2084,STM2092
985,STM0514,STM0528
986,STM4183,STM4184
987,STM2895,STM2896
988,STM2059,STM4437
989,STM2773,STM3083
990,STM1504,STM3014
991,STM3660,STM3661
992,STM1751,STM3611
993,STM1950,STM2826
994,STM0366,STM1728
995,STM2277,STM2807
996,STM3043,STM4339
997,STM1404,STM1409
998,STM0559,STM1483
999,STM0446,STM4165
1000,STM0165,STM0701
1001,STM0948,STM3258
1002,STM0588,STM0591
1003,STM1725,STM4100
1004,STM2104,STM2112
1005,STM4034,STM4038
1006,STM3722,STM3977
1007,STM0043,STM3426
1008,STM0827,STM2297
1009,STM1399,STM1401
1010,STM1881,STM3969
1011,STM0294,STM4534
1012,STM0287,STM2878
1013,STM1111,STM3770
1014,STM1133,STM2152
1015,STM0798,STM1898
1016,STM1231,STM3763
1017,STM3412,STM4172
1018,STM1253,STM4118
1019,STM0557,STM0808
1020,STM3234,STM4108
1021,STM1177,STM1970
1022,STM1142,STM1925
1023,STM2729,STM3772
1024,STM1230,STM2514
1025,STM2117,STM2801
1026,STM3668,STM4381
1027,STM2933,STM2946
1028,STM2410,STM3615
1029,STM0514,STM0776
1030,STM0139,STM4088
1031,STM1166,STM2481
1032,STM1051,STM1224
1033,STM1375,STM2369
1034,STM2716,STM4203
1035,STM0284,STM1055
1036,STM1033,STM1055
1037,STM2867,STM2898
1038,STM2077,STM2078
1039,STM2083,STM3918
1040,STM0115,STM3753
