,Interactor_A_ID,Interactor_B_ID,weight
967,STM3283,STM0013,372
968,STM0013,STM3286,380
969,STM3286,STM0013,380
970,STM0013,STM3304,157
971,STM3304,STM0013,157
972,STM0013,STM3345,151
973,STM3345,STM0013,151
974,STM0013,STM3374,250
975,STM3374,STM0013,250
976,STM0013,STM3416,371
977,STM3416,STM0013,371
978,STM0013,STM3417,397
979,STM3417,STM0013,397
980,STM0013,STM3418,405
981,STM3418,STM0013,405
982,STM0013,STM3420,254
983,STM3420,STM0013,254
984,STM0013,STM3423,372
985,STM3423,STM0013,372
986,STM0013,STM3426,371
987,STM3426,STM0013,371
988,STM0013,STM3427,371
